id_loan,loan_identifier
F99Q10603684,1901SCRT12036
F99Q10603979,2102SCRT08567
F99Q10606476,2002SCRT09912
F99Q10606671,2003SCRT11657
F99Q10607485,1704SCRT10162
F99Q10607763,1704SCRT10163
F99Q10607788,2103SCRT03670
F99Q10608346,1703SCRT09093
F99Q10608471,1902SCRT12844
F99Q10610054,2101SCRT10551
F99Q10611578,2002SCRT09914
F99Q10612097,2002SCRT09915
F99Q10612171,2003SCRT11659
F99Q10612797,1902SLST07320
F99Q10613079,2301SCRT02642
F99Q10613853,1901SCRT12038
F99Q10614124,2003SLST04490
F99Q10616451,1903SCRT12312
F99Q10616571,2201SCRT06505
F99Q10616746,2102SCRT08614
F99Q10616948,2102SCRT08615
F99Q10617307,1803SCRT11607
F99Q10617492,2003SCRT11711
F99Q10617654,2401SCRT03348
F99Q10617853,1804SCRT09713
F99Q10620012,1804SCRT09778
F99Q10620337,2001SLST06783
F99Q10620454,1901SLST07847
F99Q10622306,2003SLST04707
F99Q10624295,2002SCRT10275
F99Q10624887,1803SCRT11872
F99Q10626823,2102SCRT09117
F99Q10627661,1902SCRT13154
F99Q10628097,2002SLST10672
F99Q10628102,1803SCRT11881
F99Q10628126,1704SCRT10383
F99Q10628333,2102SCRT09133
F99Q10628896,1904SCRT12592
F99Q10630202,1804SCRT09936
F99Q10631492,2202SCRT03196
F99Q10631495,1902SCRT13158
F99Q10632389,2002SLST10674
F99Q10634670,1802SLST07500
F99Q10635557,1804SCRT09940
F99Q10637416,1803SCRT11887
F99Q10637679,1803SCRT11888
F99Q10639910,2101SCRT11719
F99Q10640934,2102SCRT09165
F99Q10640965,1904SCRT12603
F99Q10641175,2201SCRT07083
F99Q10641248,2101SLST07043
F99Q10641348,2101SCRT11721
F99Q10641712,2101SLST07044
F99Q10642586,1904SCRT12604
F99Q10643099,2002SCRT10294
F99Q10643342,1901SLST02576
F99Q10644225,1903SCRT04526
F99Q10649800,2201SCRT06271
F99Q10650407,2003SLST00075
F99Q10652497,2102SLST03498
F99Q10652687,2001SCRT06913
F99Q10653293,2002SCRT07163
F99Q20000941,1903SCRT00013
F99Q20006743,1801SCRT00280
F99Q20006893,1903SCRT00175
F99Q20007619,2001SLST00075
F99Q20014098,2102SCRT00134
F99Q20014460,1704SCRT00085
F99Q20017612,1704SCRT00086
F99Q20023564,1803SCRT00117
F99Q20023686,1803SCRT00120
F99Q20024972,2101SCRT00224
F99Q20024999,2101SCRT00225
F99Q20026951,1801SCRT00327
F99Q20028350,1903SCRT00183
F99Q20028435,1901SLST00100
F99Q20030808,2201SCRT00147
F99Q20031029,1802SLST05169
F99Q20033814,2102SLST00083
F99Q20038182,1901SLST00105
F99Q20038431,2101SLST00142
F99Q20040295,1801SCRT00344
F99Q20040950,2003SCRT00208
F99Q20042672,1903SCRT00192
F99Q20044750,1801SCRT00351
F99Q20044892,2002SLST00154
F99Q20046015,2002SLST00155
F99Q20046201,2003SCRT00209
F99Q20049693,2201SLST00052
F99Q20050358,2501SCRT00519
F99Q20050477,1904SCRT00191
F99Q20054502,2101SCRT00250
F99Q20061786,2401SCRT00422
F99Q20061975,1804SCRT00121
F99Q20062507,1803SCRT00137
F99Q20066136,1704SCRT00114
F99Q20066534,2001SCRT00163
F99Q20069492,2002SLST00201
F99Q20069556,2002SLST00206
F99Q20070436,2102SLST00115
F99Q20071710,2001SLST00161
F99Q20073870,2202SCRT00067
F99Q20074429,1902SLST00108
F99Q20075248,2101SCRT00369
F99Q20075336,2202SLST00040
F99Q20075376,2002SCRT00156
F99Q20077191,2201SCRT00193
F99Q20077238,2003SCRT00249
F99Q20077355,2202SCRT00068
F99Q20077496,2202SCRT00069
F99Q20077558,2001SCRT00205
F99Q20077745,2001SCRT00206
F99Q20077760,2402SCRT00458
F99Q20078394,1703SCRT00060
F99Q20079040,2102SCRT00225
F99Q20080602,1803SCRT00161
F99Q20080764,1803SCRT00162
F99Q20081034,1902SLST00112
F99Q20081222,2101SCRT00375
F99Q20081578,2101SCRT00376
F99Q20083534,1802SLST00934
F99Q20083597,2301SLST00122
F99Q20083889,2103SCRT00089
F99Q20092098,1904SCRT00234
F99Q20092411,2003SCRT00254
F99Q20092666,2102SCRT00230
F99Q20093151,1902SLST00113
F99Q20097647,2002SLST00221
F99Q20104207,1902SLST00120
F99Q20104532,1803SCRT00168
F99Q20105121,1803SCRT00169
F99Q20106452,2401SCRT00433
F99Q20108086,2001SCRT00211
F99Q20108686,2002SCRT00165
F99Q20109554,2202SCRT00072
F99Q20109608,2001SLST00166
F99Q20110011,1904SCRT00240
F99Q20110874,2102SCRT00245
F99Q20112270,1704SCRT00134
F99Q20112533,1704SCRT00135
F99Q20113284,2102SCRT00246
F99Q20113852,2002SLST00223
F99Q20113999,2501SCRT00549
F99Q20114382,2102SLST00124
F99Q20114836,2002SCRT00168
F99Q20115116,1803SCRT00171
F99Q20115169,2003SCRT00265
F99Q20116522,1704SCRT00136
F99Q20117332,1704SCRT00137
F99Q20117376,2102SLST00125
F99Q20117630,2301SCRT00148
F99Q20117674,2001SCRT00223
F99Q20119467,1902SLST00123
F99Q20120456,1704SCRT00138
F99Q20120458,2102SCRT00247
F99Q20126817,2102SCRT00251
F99Q20129080,2401SCRT00435
F99Q20129535,2101SLST00241
F99Q20130741,1903SCRT00316
F99Q20132299,1903SCRT00320
F99Q20137706,1802SLST01305
F99Q20138710,1801SCRT00490
F99Q20139549,1801SCRT00491
F99Q20141164,2101SCRT00395
F99Q20141300,2101SCRT00396
F99Q20141783,1801SCRT00492
F99Q20144887,1903SCRT00324
F99Q20146396,2001SCRT00225
F99Q20149682,1802SLST02944
F99Q20153691,2101SCRT00399
F99Q20154008,1801SCRT00495
F99Q20154584,1801SCRT00496
F99Q20155947,1903SCRT00328
F99Q20156463,2101SLST00243
F99Q20160873,1801SCRT00500
F99Q20164030,1903SCRT00329
F99Q20164582,2101SCRT00406
F99Q20168156,2102SCRT00252
F99Q20168431,2003SCRT00267
F99Q20168570,1803SCRT00172
F99Q20169858,2002SLST00230
F99Q20170314,1804SCRT00160
F99Q20171021,1803SCRT00173
F99Q20171100,1803SCRT00174
F99Q20172881,2101SCRT00409
F99Q20174768,2401SLST00175
F99Q20176307,1902SLST00125
F99Q20176573,2002SLST00235
F99Q20176651,2102SCRT00258
F99Q20176801,1704SCRT00140
F99Q20178521,2001SLST00184
F99Q20179122,2002SLST00236
F99Q20179219,1704SCRT00142
F99Q20181144,2101SCRT00433
F99Q20183232,1802SLST00751
F99Q20183558,2101SCRT00434
F99Q20183903,2001SCRT00248
F99Q20184000,1803SCRT00182
F99Q20184510,2201SCRT00208
F99Q20186310,2001SLST00194
F99Q20187486,2001SCRT00250
F99Q20188707,1802SLST01929
F99Q20190297,2501SCRT00562
F99Q20191003,2102SCRT00268
F99Q20191054,2501SCRT00563
F99Q20191494,2102SCRT00269
F99Q20193793,2102SLST00134
F99Q20193979,2002SCRT00179
F99Q20194744,2101SCRT00444
F99Q20194899,1902SCRT00147
F99Q20195129,2101SLST00256
F99Q20197127,2101SLST00257
F99Q20198213,1703SCRT00066
F99Q20198350,1904SCRT00274
F99Q20199359,1704SCRT00148
F99Q20199376,2102SCRT00270
F99Q20200108,2102SLST00135
F99Q20200114,2102SCRT00271
F99Q20200372,2102SCRT00272
F99Q20200375,2002SCRT00180
